Semana 1;1 a 5 de janeiro
Prato;Arroz de pato no forno à moda antiga
Salada;Alface, beterraba e cenoura ralada
Sobremesa;Fruta da época (min. 3 variedades) 
Pao;Pao de mistura
;
Sopa;Camponesa
Prato;Filetes de Pescada gratinados com puré de batata, cenoura e brócolos cozidos
Salada;Tomate, milho e pepino
Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
Pao;Pao de mistura
;
Sopa;Caldo verde
Prato;Bifinhos de porco de cebolada com arroz de cenoura
Salada;Alface, tomate e couve roxa
Sobremesa;Fruta da época (min. 3 variedades) 
Pao;Pao de mistura
Semana 9;26 de fevereiro a 2 de março
Sopa;Nabo e cenoura com couve
Prato;Atum com feijão-frade (atum, batata, ovo, e cenoura)
Salada;Beterraba, cenoura e tomate
Sobremesa;Fruta da época (min. 3 variedades) 
Pao;Pao de mistura
;
Sopa;Feijão-verde
Prato;Carne de vaca assada fatiada com esparguete
Salada;Cenoura, couve-roxa e tomate
Sobremesa;Fruta da época (min. 3 variedades) 
Pao;Pao de mistura
;
Sopa;Lavrador
Prato;Solha gratinada com macedónia de legumes e batata cozida
Salada;Alface, cenoura e miho
Sobremesa;Fruta da época (min. 3 variedades) / Fruta assada
Pao;Pao de mistura
;
Sopa;Sopa de tomate
Prato;Perna de frango assada com arroz branco
Salada;Tomate, alface e pepino
Sobremesa;Fruta da época (min. 3 variedades)
Pao;Pao de mistura
;
Sopa;Nabiças com feijão-frade
Prato;Bacalhau com broa
Salada;Alface, milho e cebola
Sobremesa;Fruta da época (min. 3 variedades) / Pudim
Pao;Pao de mistura
Semana 10;5 a 9 de março
Sopa;Primavera
Prato;Febras de porco grelhadas com estufado de ervilhas e massa fusilli
Salada;Beterraba, cenoura e tomate
Sobremesa;Fruta da época (min. 3 variedades)
Pao;Pao de mistura
0;
Sopa;Abóbora com massinhas
Prato;Salada de abrótea e camarão com batata, ervilhas e cenoura
Salada;Curgete, tomate e pepino
Sobremesa;Fruta da época (min. 3 variedades)/ Gelatina com frutas
Pao;Pao de mistura
;
Sopa;Creme de alho francês com cenoura e curgete
Prato;Perna de peru assada com arroz de legumes (milho e brócolos)
Salada;Alface, cenoura e milho
Sobremesa;Fruta da época (min. 3 variedades)
Pao;Pao de mistura
;
Sopa;Grão com feijão-verde
Prato;Pescada no forno com batata corada
Salada;Alface, tomate e couve roxa
Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
Pao;Pao de mistura
;
Sopa;Saloia
Prato;Arroz de carnes mistas (Vaca e porco)
Salada;Alface, cenoura e milho
Sobremesa;Fruta da época (min. 3 variedades) 
Pao;Pao de mistura
Semana 11;12 a 16 de março
Sopa;Espinafres
Prato;Massa de atum com legumes (cenoura, couve flor e ervilhas)
Salada;Alface, milho e cebola
Sobremesa;Fruta da época (min. 3 variedades) / Fruta assada
Pao;Pao de mistura
;
Sopa;Creme de legumes
Prato;Frango assado com arroz de cenoura
Salada;Alface, beterraba e cenoura
Sobremesa;Fruta da época (min. 3 variedades)
Pao;Pao de mistura
;
Sopa;Feijão branco com couve lombarda
Prato;Badejo estufado(4) com batata, cenoura e ervilhas
Salada;Couve em juliana, pepino e tomate
Sobremesa;Fruta da época (min. 3 variedades) 
Pao;Pao de mistura
;
Sopa;Macedónia de legumes
Prato;Rolo de carne assado no forno com esparguete
Salada;Alface, milho e couve roxa
Sobremesa;Fruta da época (min. 3 variedades) / Arroz doce
Pao;Pao de mistura
;
Sopa;Caldo verde
Prato;Meia desfeita de bacalhau
Salada;Tomate, milho e cebola
Sobremesa;Fruta da época (min. 3 variedades) 
Pao;Pao de mistura
Semana 12;19 a 23 de março
Sopa;Alho francês com curgete
Prato;Salada de frango (massa, frango, ovo, cenoura e ervilhas)
Salada;Pepino, tomate e couve roxa
Sobremesa;Fruta da época (min. 3 variedades)
Pao;Pao de mistura
;
Sopa;Portuguesa
Prato;Filetes de peixe gratinados com puré de batata
Salada;Alface, beterraba e milho
Sobremesa;Fruta da época (min. 3 variedades)/ Fruta cozida
Pao;Pao de mistura
;
Sopa;Sopa da Horta
Prato;Strogonoff misto (porco e vaca) com arroz branco
Salada;Alface, cenoura e cebola
Sobremesa;Fruta da época (min. 3 variedades)
Pao;Pao de mistura
;
Sopa;Creme de feijão-verde
Prato;Massinha de peixe com coentros
Salada;Couve-roxa, cenoura e tomate
Sobremesa;Fruta da época (min. 3 variedades) / Iogurte
Pao;Pao de mistura
;
Sopa;Juliana
Prato;Feijoada à Transmontana
Salada;Alface, tomate e cenoura
Sobremesa;Fruta da época (min. 3 variedades)
Pao;Pao de mistura
